@relation 'Rest API Endpoints'

@attribute label_type {get,post,put,delete,invalid}
@attribute text string

@data
post, ' Creates a contact list for use with campaigns using 1 of 3 inputs. A List of Contact objects, a list of String E.164 numbers, or a list of CallFire contactIds can be used as the data source for the created contact list. After contact list is added into the CallFire system, contact lists goes through seven system safeguards that check the accuracy and consistency of the data. For example, our system checks that contact number is formatted correctly, is valid, is not duplicated in another contact list, or is not added on a specific DNC list. You can configure to keep/merge or remove contacts which do not complies these rules. If contacts were not added to a contact list after the validation, this means the data needs to be properly formatted and corrected before calling this API'
post, ' Creates a contact list to be used with campaigns through uploading a .csv file. Returns the id of created list'
delete, ' Deletes a contact list, included contacts will not be deleted.'
get, ' Returns a single ContactList instance for a given contact list id'
put, ' Updates contact list instance.'
delete, ' Deletes contacts from a contact list. List the contact ids in request to delete multiple contacts with one request.'
get, ' Searches for all entries in a contact list with specified id. Returns a paged list of contact entries'
put, ' Adds contacts to a contact list. Available contact sources are: list of the contact entities, list of ids of existing contacts in user's account, list of phone numbers in E.164 format (11-digits)'
delete, ' Deletes a single contact from a contact list'
delete, ' Deletes a contact instance from account'
get, ' Returns a Contact instance for a given contact id. Deleted contacts can be still retrieved but will be marked as deleted. Deleted contacts will not be shown in search request.'
put, ' Updates a single contact instance with id specified. See [contact validation rules](https://www.callfire.com/help/docs/getting-started/managing-contacts/validating-contacts#section1)'
get, ' Searches for all texts and calls attributed to a contact. Returns a list of calls and texts a contact has been involved with'
get, ' Searches for all keywords available for purchase on the CallFire platform. If a keyword appears in the response, it is available for purchase. List the 'keywords' in a query parameter to search for multiple keywords (at least one keyword should be sent in request). Keyword should only consist of uppercase and lowercase letters and numbers. Number of characters must be greater than 2, but less than 65.'
get, ' Searches for all keywords owned by user. A keyword lease is the ownership information involving a keyword'
get, ' Searches for all keyword lease configs for the user. Returns a paged list of KeywordConfig'
get, ' Returns a single KeywordConfig instance for a given keyword lease'
put, ' Updates a keyword lease configuration. Use this API endpoint to enable/disable inbound SMS forwarding, set forward number. Forward number must be in E.164 format)'
get, ' Get keyword by id'
get, ' Searches for all keywords owned by user'
put, ' Updates a keyword lease. Turns the autoRenew on/off. Configure double opt in feature. Add/remove contact list from keyword.'
get, ' Searches for the specific keyword to purchase on the CallFire platform. Returns 'true' if keyword is available. Keyword should only consist of uppercase and lowercase letters and numbers. Number of characters must be greater than 2, but less than 65.'
get, ' Searches for the user account details. Details include name, email, and basic account permissions. For authentication use api credentials.'
get, ' Searches for all credentials generated by user. Returns a paged list of the API credentials. Only ACCOUNT_HOLDER can invoke this API. For authentication use account credentials.'
post, ' Creates an API credentials for the CallFire API. This endpoint requires full CallFire account credentials to be used, authenticated using Basic Authentication. At the moment user provides only the name for the credentials. The generated credentials can be used to access any CallFire APIs. For authentication use account credentials.'
delete, ' Deletes a specified API credential. Currently, removes the ability to access the API. Only ACCOUNT_HOLDER can invoke this API. For authentication use account credentials.'
get, ' Returns an API credential instance for a given api credential id. Only ACCOUNT_HOLDER can invoke this API. For authentication use account credentials.'
post, ' Disables a specified API credential. Currently, removes the ability to access the API. Only ACCOUNT_HOLDER can invoke this API. For authentication use account credentials.'
post, ' Enables a specified API credential. Currently, adds the ability to access the API. Only ACCOUNT_HOLDER can invoke this API. For authentication use account credentials.'
get, ' Find credit usage for the user. Returns credits usage for time period specified or if unspecified then total for all time. For authentication use api credentials.'
get, ' Searches for the data of a billing plan usage for the user. Returns the data of a billing plan usage for the current month. For authentication use api credentials.'
get, ' Returns a list of verified caller ids. If the number is not shown in the list, then it is not verified. In this case sending of a verification code is required. For authentication use api credentials.'
post, ' Generates and sends a verification code to the phone number provided in the path. The verification code is delivered via a phone call. This code needs to be submitted to the verify caller id API endpoint to complete verification. For authentication use api credentials.'
post, ' With the verification code received from the Create caller id endpoint, a call to this endpoint is required to finish verification. For authentication use api credentials.'
get, ' Find media files created by user'
post, ' Uploads media file to account, acceptable media formats: bmp, gif, jpg, m4a, mp3, mp4, png, wav'
get, ' Download a media file. Available types of files: bmp, gif, jpg, m4a, mp3, mp4, png, wav. Content type in response depends on 'extension' parameter, e.g. image/jpeg, image/png, audio/mp3, etc'
get, ' Get media resource by id'
post, ' Download a media file. Available types of files: bmp, gif, jpg, m4a, mp3, mp4, png, wav. Content type in response depends on 'extension' parameter, e.g. image/jpeg, image/png, audio/mp3, etc'
post, ' Download a MP3 media, endpoint returns application/binary content-type'
get, ' Searches for all numbers leased by account user. This API is useful for finding all numbers currently owned by the user. Returns a paged list of number leases.'
get, ' Searches for all number lease configs for the user. Returns a paged list of NumberConfig'
get, ' Returns a single NumberConfig instance for a given number lease'
put, ' Updates a phone number lease configuration. Use this API endpoint to add an Inbound IVR or Call Tracking feature to a CallFire phone number. Call tracking configuration allows you to track the incoming calls, to analyze and to respond customers using sms or voice replies. For more information see [call tracking page](https://www.callfire.com/products/call-tracking)'
get, ' Returns a single NumberLease instance for a given number'
put, ' Updates a number lease instance. Ability to turn on/off autoRenew and toggle call/text features for a particular number'
get, ' Searches for numbers available for purchase in CallFire local numbers catalog . At least one additional parameter is required. User may filter local numbers by their region information. If all numbers with desirable zip code is already busy search will return available numbers with nearest zip code.'
get, ' Searches for region information. Use this API to obtain detailed region information that can be used to query for more specific phone numbers than a general query.'
get, ' Searches for the toll free numbers which are available for purchase in the CallFire catalog'
get, ' Searches for account orders'
post, ' Purchase keywords. Send a list of available keywords into this API to purchase them using CallFire credits. Make sure the account has enough credits before trying to purchase the keywords. Keyword should only consist of uppercase and lowercase letters and numbers. Number of characters must be greater than 2, but less than 65.'
post, ' Purchase numbers. There are many ways to purchase a number. Set either 'tollFreeCount' or 'localCount' along with some querying fields to purchase numbers by bulk query. Set the list of numbers to purchase by list. Available numbers will be purchased using CallFire credits owned by the user. Make sure the account has enough credits before trying to purchase'
get, ' Returns a single NumberOrder instance for a given order id. Order contains information about purchased keywords, local, toll-free numbers'
get, ' Get delivery reports'
get, ' Searches for texts sent or received by user. Use "campaignId=0" parameter to query for all texts sent through the POST /texts API. See [call states and results](https://developers.callfire.com/results-responses-errors.html)'
post, ' Use the /texts API to send individual texts quickly. By default all texts are going out from CallFire's dedicated short code. Example: 67076, 818818 etc'
get, ' Find all text autoreplies created by user. Returns a paged list of TextAutoReply'
post, ' CallFire gives you possibility to set up auto reply messages for your numbers and keywords. You can set a general auto reply for anyone who texts your number, keyword, and/or include a text to match, so that the auto reply would be sent only to those who text the matched text'
delete, ' Deletes a text auto reply and removes the configuration. Can not delete a TextAutoReply which is currently active for a campaign'
get, ' Returns a single TextAutoReply instance for a given text auto reply id'
get, ' Searches for all text broadcasts created by user. Can query on label, name, and the current running status of the campaign. Returns a paged list of text broadcasts'
post, ' Creates a text broadcast campaign using the Text Broadcast API. Send a TextBroadcast object in the message body to detail a text broadcast campaign. A campaign can be created without contacts and with bare minimum configuration, but contacts have to be added further on to use the campaign. It supports scheduling, retry logic, pattern-based messages.'
get, ' Returns a single TextBroadcast instance for a given text broadcast id'
put, ' Allows modifying the configuration of existing text broadcast campaign. See TextBroadcast for more information on what can/can't be updated on this API'
post, ' Archives a text broadcast (and hides it in the search results)'
get, ' This endpoint will enable the user to page through all of the batches for a particular text broadcast campaign'
post, ' Allows adding an extra batches to an already created text broadcast campaign. The batches which being added pass the CallFire validation process (unlike in the recipients version of this API). That is why using of a scrubDuplicates flag remove duplicates from your batch. Batches may be added as a contact list id, a list of contact ids, or a list of numbers'
put, ' Use this API to add recipients to a text broadcast which is already created. Post a list of Recipient objects to be immediately added to the text broadcast campaign. These contacts will not go through validation process, and will be acted upon as they are added. Recipients may be added as a list of contact ids, or list of numbers'
post, ' Starts a text broadcast'
get, ' Returns the broadcast statistics. Example: total number of the sent/received actions, total cost, number of remaining outbound actions, error count, etc'
post, ' Stops a text broadcast'
get, ' This endpoint will enable the user to page through all of the texts for a particular text broadcast campaign'
post, ' This operation lets the user to disable/enable undialed contacts in created broadcast'
get, ' Returns a single Text instance for a given text id'
get, ' Searches all webhooks available for a current user. Searches by name, resource, event, callback URL, or whether they are enabled. Returns a paged list of Webhooks'
post, ' Create a Webhook for notification in the CallFire system. Use the webhooks API to receive notifications of important CallFire events. Select the resource to listen to, and then choose the resource events to receive notifications on. When an event triggers, a POST will be made to the callback URL with a payload of notification information. Available resources and their events include 'CccCampaign': ['started', 'stopped', 'finished'], 'CallBroadcast': ['started', 'stopped', 'finished'], 'TextBroadcast': ['started', 'stopped', 'finished'], 'OutboundCall': ['finished'], 'InboundCall': ['finished'], 'OutboundText': ['finished'], 'InboundText': ['finished'], 'ContactList': ['validationFinished', 'validationFailed'], 'MonthlyRenewal': ['failed', 'finished'], 'LowBalance': ['failed', 'finished']. Webhooks support secret token which is used as signing key to HmacSHA1 hash of json payload which is returned in 'X-CallFire-Signature' header. This header can be used to verify callback POST is coming from CallFire. See [security guide](https://developers.callfire.com/security-guide.html)'
get, ' Searches for webhook resources. Available resources include 'CccCampaign': ['started', 'stopped', 'finished'], 'CallBroadcast': ['started', 'stopped', 'finished'], 'TextBroadcast': ['started', 'stopped', 'finished'], 'OutboundCall': ['finished'], 'InboundCall': ['finished'], 'OutboundText': ['finished'], 'InboundText': ['finished'], 'ContactList': ['validationFinished', 'validationFailed'], 'MonthlyRenewal': ['failed', 'finished'], 'LowBalance': ['failed', 'finished']'
get, ' Returns information about supported events for a given webhook resource'
delete, ' Deletes a webhook instance. Will be removed permanently'
get, ' Returns a single Webhook instance for a given webhook id'
put, ' Updates the information in existing webhook'
post, ' Merge and analyse sites within a network channel to determine the best server at a given location. Each site will be dynamically allocated a monochrome colour from a palette and the strongest signal promoted at a given location.'
delete, ' Warning! you could lose data. This function will delete the entry from the database and the file from the disk. Accidental deletion can be reversed by contacting support with biscuits who maintain an offsite backup.'
delete, ' Warning! you could lose data. This function will delete the entry from the database and the file from the disk. Accidental deletion can be reversed by contacting support with biscuits who maintain an offsite backup.'
delete, ' This endpoint removes a Config identified by the `configId` parameter.'
get, ' This endpoint returns the metadata of a Configidentified by the `configId`.'
put, ' This endpoint updates a Config identified by the `configId` parameter.'
get, ' This endpoint returns the list of Feature Flags and Settings that were deleted from the given Config.'
get, ' This endpoint returns the SDK Key for your Config in a specified Environment.'
delete, ' This endpoint removes an Environment identified by the `environmentId` parameter.'
get, ' This endpoint returns the metadata of an Environment identified by the `environmentId`.'
put, ' This endpoint updates an Environment identified by the `environmentId` parameter.'
get, ' This endpoint returns the list of the Organizations that belongs to the user.'
get, ' This endpoint returns the list of Audit log items for a given Organization and the result can be optionally filtered by Product and/or Config and/or Environment.'
get, ' This endpoint returns the list of Members that belongs to the given Organization, identified by the `organizationId` parameter.'
delete, ' This endpoint removes a Member identified by the `userId` from the given Organization identified by the `organizationId` parameter.'
post, ' This endpoint creates a new Product in a specified Organization identified by the `organizationId` parameter, which can be obtained from the [List Organizations](#operation/get-organizations) endpoint.'
delete, ' This endpoint removes a Permission Group identified by the `permissionGroupId` parameter.'
get, ' This endpoint returns the metadata of a Permission Group identified by the `permissionGroupId`.'
put, ' This endpoint updates a Permission Group identified by the `permissionGroupId` parameter.'
get, ' This endpoint returns the list of the Products that belongs to the user.'
delete, ' This endpoint removes a Product identified by the `productId` parameter.'
get, ' This endpoint returns the metadata of a Product identified by the `productId`.'
put, ' This endpoint updates a Product identified by the `productId` parameter.'
get, ' This endpoint returns the list of Audit log items for a given Product and the result can be optionally filtered by Config and/or Environment.'
get, ' This endpoint returns the list of the Configs that belongs to the given Product identified by the`productId` parameter, which can be obtained from the [List Products](#operation/get-products) endpoint.'
post, ' This endpoint creates a new Config in a specified Product identified by the `productId` parameter, which can be obtained from the [List Products](#operation/get-products) endpoint.'
get, ' This endpoint returns the list of the Environments that belongs to the given Product identified by the`productId` parameter, which can be obtained from the [List Products](#operation/get-products) endpoint.'
post, ' This endpoint creates a new Environment in a specified Product identified by the `productId` parameter, which can be obtained from the [List Products](#operation/get-products) endpoint.'
get, ' This endpoint returns the list of Members that belongs to the given Product, identified by the `productId` parameter.'
post, ' This endpoint invites a Member into the given Product identified by the `productId` parameter.'
delete, ' This endpoint removes a Member identified by the `userId` from the given Product identified by the `productId` parameter.'
get, ' This endpoint returns the list of the Permission Groups that belongs to the given Product identified by the`productId` parameter, which can be obtained from the [List Products](#operation/get-products) endpoint.'
post, ' This endpoint creates a new Permission Group in a specified Product identified by the `productId` parameter, which can be obtained from the [List Products](#operation/get-products) endpoint.'
get, ' This endpoint returns the list of the Tags in a specified Product, identified by the `productId` parameter.'
post, ' This endpoint creates a new Tag in a specified Product identified by the `productId` parameter, which can be obtained from the [List Products](#operation/get-products) endpoint.'
delete, ' This endpoint removes a Feature Flag or Setting from a specified Config, identified by the `configId` parameter.'
get, ' This endpoint returns the metadata attributes of a Feature Flag or Setting identified by the `settingId` parameter.'
delete, ' This endpoint deletes a Tag identified by the `tagId` parameter. To remove a Tag from a Feature Flag or Setting use the [Update Flag](#operation/update-setting) endpoint.'
get, ' This endpoint returns the metadata of a Tag identified by the `tagId`.'
put, ' This endpoint updates a Tag identified by the `tagId` parameter.'
get, ' This endpoint returns the list of the Settings that has the specified Tag, identified by the `tagId` parameter.'
get, ' Retrieves all the Languages that the authenticated user or client has permission to access.'
post, ' Creates a Language if it does not yet exist (i.e. if the resource does not have an `id` property yet), or replaces the existing Language resource if it does. Note that this replaces the *entire* Language. It is not a partial update.'
put, ' Performs a partial update the Language whose ID is specified in the URL. If the Language object has an `id` property, is ignored in favor of the ID in the URL.'
get, ' Retrieve all Lexemes that the authenticated user has permission to access. Include a `languageID` query parameter to limit results to Lexemes from a particular Language.'
post, ' Add a new Lexeme. A `languageID` must be provided either as a query parameter, or as an attribute on the Lexeme body.'
invalid, ' Upsert (add or replace) a Lexeme. A `languageID` must be provided either as a query parameter, or as an attribute on the Lexeme body.'
put, ' Perform a partial update on a Lexeme.'
get, ' Retrieve or search patient allergies'
post, ' Create patient allergy'
get, ' Retrieve an existing patient allergy'
put, ' Update an existing patient allergy'
put, ' Update an existing patient allergy'
get, ' Retrieve or search patient amendments. You can only interact with amendments created by your API application'
post, ' Create patient amendments to a patient's clinical records'
delete, ' Delete an existing patient amendment, you can only interact with amendments created by your API application'
get, ' Retrieve an existing patient amendment, you can only interact with amendments created by your API application'
put, ' Update an existing patient amendment, you can only interact with amendments created by your API application'
put, ' Update an existing patient amendment, you can only interact with amendments created by your API application'
get, ' Retrieve or search appointment profiles for a doctor's calendar'
post, ' Create appointment profiles for a doctor's calendar'
delete, ' Delete an existing appointment profile'
get, ' Retrieve an existing appointment profile'
put, ' Update an existing appointment profile'
put, ' Update an existing appointment profile'
get, ' Retrieve or search appointment templates for a doctor's calendar'
post, ' Create appointment templates for a doctor's calendar'
delete, ' Delete an existing appointment template'
get, ' Retrieve an existing appointment template'
put, ' Update an existing appointment template'
put, ' Update an existing appointment template'
get, ' Retrieve or search appointment or breaks.'
post, ' Create a new appointment or break on doctor's calendar'
delete, ' Delete an existing appointment or break'
get, ' Retrieve an existing appointment or break'
put, ' Update an existing appointment or break'
put, ' Update an existing appointment or break'
get, ' Retrieve or search billing profiles'
get, ' Retrieve an existing billing profiles'
get, ' Retrieve or search care plans'
get, ' Retrieve an existing care plan'
get, ' Retrieve or search billing notes'
post, ' Create a new billing note'
get, ' Retrieve an existing billing note'
get, ' Retrieve or search clinical note field types'
get, ' Retrieve an existing clinial note field type'
get, ' Retrieve or search clinical note field values'
post, ' Create clinical note field value'
get, ' Retrieve an existing clinical note field value'
put, ' Update an existing clinical note field value'
put, ' Update an existing clinical note field value'
get, ' Retrieve or search clinical note templates'
get, ' Retrieve an existing clinical note tempalte'
get, ' Retrieve or search communicatioin (phone call) logs'
post, ' Create communication (phone call) logs'
get, ' Retrieve an existing communication (phone call) logs'
put, ' Update an existing communication (phone call) logs'
put, ' Update an existing communication (phone call) logs'
get, ' Retrieve or search patient consent forms'
post, ' Create a patient consent form'
get, ' Retrieve an existing patient consent form'
put, ' Update an existing patient consent form'
put, ' Update an existing patient consent form'
post, ' Assign (apply) a consent form to appointment'
post, ' Unassign (unapply) a consent form from appointment'
get, ' Retrieve or search custom appointment fields'
post, ' Create custom appointment fields'
get, ' Retrieve an existing custom appointment field'
put, ' Update an existing custom appointment field'
put, ' Update an existing custom appointment field'
get, ' Retrieve or search custom demographics fields'
post, ' Create custom demographics fields'
get, ' Retrieve an existing custom demographics field'
put, ' Update an existing custom demographics field'
put, ' Update an existing custom demographics field'
get, ' Retrieve or search custom insurance plan names'
get, ' Retrieve an existing custom insurance plan name'
get, ' Retrieve or search custom vital types'
get, ' Retrieve an existing custom vital type'
get, ' Retrieve or search doctors within practice group'
get, ' Retrieve an existing dcotor'
get, ' Retrieve or search documents'
post, ' Create documents'
delete, ' Delete an existing appointment template'
get, ' Retrieve an existing appointment template'
put, ' Update an existing appointment template'
put, ' Update an existing appointment template'
get, ' Retrieve or search past eligibility checks for patient'
get, ' Retrieve an existing past eligibility check'
get, ' Retrieve or search EOB objects'
post, ' Create EOB object'
get, ' Retrieve an existing EOB object'
get, ' Retrieve or search implantable devices'
get, ' Retrieve an existing implantable device'
get, ' Retrieve or search inventory categories'
get, ' Retrieve an existing inventory category'
get, ' Retrieve or search vaccine inventories'
post, ' Create vaccine inventory'
get, ' Retrieve an existing vaccine inventory'
get, ' Retrieve or search lab order documents'
post, ' Create lab order documents. An example lab workflow is as following:'
delete, ' Delete an existing lab order document'
get, ' Retrieve an existing lab order document'
put, ' Update an existing lab order document'
put, ' Update an existing lab order document'
get, ' Retrieve or search lab orders'
post, ' Create lab orders. An example lab workflow is as following:'
delete, ' Delete an existing lab order'
get, ' Retrieve an existing lab order'
put, ' Update an existing lab order'
put, ' Update an existing lab order'
get, ' Retrieve or search lab results'
post, ' Create lab results. An example lab workflow is as following:'
delete, ' Delete an existing lab result'
get, ' Retrieve an existing lab result'
put, ' Update an existing lab result'
put, ' Update an existing lab result'
get, ' Retrieve or search lab tests'
post, ' Create lab tests. An example lab workflow is as following:'
delete, ' Delete an existing lab test'
get, ' Retrieve an existing lab test'
put, ' Update an existing lab test'
put, ' Update an existing lab test'
get, ' Retrieve or search billing line items'
post, ' Create billing line item for appointments'
get, ' Retrieve an existing billing line item'
get, ' Retrieve or search patient medications'
post, ' Create patient medications'
get, ' Retrieve an existing patient medications'
put, ' Update an existing patient medications'
put, ' Update an existing patient medications'
put, ' Append a message to the "pharmacy_note" section of the prescription, in a new paragraph'
get, ' Retrieve or search messages in doctor's message center'
post, ' Create messages in doctor's message center'
delete, ' Delete an existing message in doctor's message center'
get, ' Retrieve an existing message in doctor's message center'
put, ' Update an existing message in doctor's message center'
put, ' Update an existing message in doctor's message center'
get, ' Retrieve or search offices'
get, ' Retrieve an existing office'
put, ' Update an existing office'
put, ' Update an existing office'
put, ' Add an exam room to the office'
get, ' Retrieve or search patient communications for CQM'
post, ' Create patient communication for CQM'
get, ' Retrieve an existing patient communication for CQM'
put, ' Update an existing patient communication for CQM'
put, ' Update an existing patient communication for CQM'
get, ' Retrieve or search patient flag types'
post, ' Create patient flag types'
get, ' Retrieve an existing patient flag type'
put, ' Update an existing patient flag type'
put, ' Update an existing patient flag type'
get, ' Retrieve or search patient interventions for CQM'
post, ' Create patient intervention for CQM'
get, ' Retrieve an existing patient intervention for CQM'
put, ' Update an existing patient intervention for CQM'
put, ' Update an existing patient intervention for CQM'
get, ' Retrieve or search patient payment logs'
get, ' Retrieve an existing patient payment log'
get, ' Retrieve or search patient payments'
post, ' Create patient payment'
get, ' Retrieve an existing patient payment'
get, ' Retrieve or search patient physical exams for CQM'
post, ' Create patient physical exam for CQM'
get, ' Retrieve an existing patient physical exam for CQM'
put, ' Update an existing patient physical exam for CQM'
put, ' Update an existing patient physical exam for CQM'
get, ' Retrieve or search patient vaccine records'
post, ' Create patient vaccine records'
get, ' Retrieve an existing patient vaccine records'
put, ' Update an existing patient vaccine records'
put, ' Update an existing patient vaccine records'
get, ' Retrieve or search patients'
post, ' Create patient'
delete, ' Delete an existing patient'
get, ' Retrieve an existing patient'
put, ' Update an existing patient'
put, ' Update an existing patient'
get, ' Retrieve patient CCDA'
delete, ' Revoke sent onpatient invites'
get, ' Retrieve or search existing onpatient access invites'
post, ' Send new onpatient invite to patient'
get, ' Retrieve patient QRDA1'
get, ' Retrieve or search prescription messages'
get, ' Retrieve an existing prescription message'
get, ' Retrieve or search patient problems'
post, ' Create patient problems'
get, ' Retrieve an existing patient problems'
put, ' Update an existing patient problems'
put, ' Update an existing patient problems'
get, ' Retrieve or search reminder profiles'
post, ' Create reminder profile'
delete, ' Delete an existing reminder profile'
get, ' Retrieve an existing reminder profile'
put, ' Update an existing reminder profile'
put, ' Update an existing reminder profile'
get, ' Retrieve or search sub vendors'
post, ' Create sub-vendors'
delete, ' Delete an existing sub vendor'
get, ' Retrieve an existing sub vendor'
put, ' Update an existing sub vendor'
put, ' Update an existing sub vendor'
get, ' Retrieve or search task categories'
post, ' Create a task category'
get, ' Retrieve an existing task category'
put, ' Update an existing task category'
put, ' Update an existing task category'
get, ' Retrieve or search task notes'
post, ' Create a task note'
get, ' Retrieve an existing task note'
put, ' Update an existing task note'
put, ' Update an existing task note'
get, ' Retrieve or search task statuses'
post, ' Create a task status'
get, ' Retrieve an existing task status'
put, ' Update an existing task status'
put, ' Update an existing task status'
get, ' Retrieve or search task templates'
post, ' Create a task template'
get, ' Retrieve an existing task template'
put, ' Update an existing task template'
put, ' Update an existing task template'
get, ' Retrieve or search tasks'
post, ' Create a task'
get, ' Retrieve an existing task'
put, ' Update an existing task'
put, ' Update an existing task'
get, ' Retrieve or search insurance transactions associated with billing line items'
get, ' Retrieve an existing insurance transaction'
get, ' Retrieve or search user groups'
get, ' Retrieve an existing user group'
get, ' Retrieve or search users, `/api/users/current` can be used to identify logged in user, it will redirect to `/api/users/{current_user_id}`'
get, ' Retrieve an existing user, `/api/users/current` can be used to identify logged in user, it will redirect to `/api/users/{current_user_id}`'
get, ' This method retrieves the details of specific items that the buyer needs to make a purchasing decision. Note: This is a (Limited Release) available only to select Partners. For this method, only the following fields are returned: eligibleForInlineCheckout, estimatedAvailabilities, itemAffiliateWebURL, itemID, ItemWebURL, legacyItemID, price, sellerItemRevision, and topRatedBuyingExperience. URLs for this method Production URL: https://api.ebay.com/buy/browse/v1/item/ Sandbox URL: https://api.sandbox.ebay.com/buy/browse/v1/item/ Request headers This method uses the X-EBAY-C-ENDUSERCTX request header to support revenue sharing for eBay Partner Networks and to improve the accuracy of shipping and delivery time estimations. For details see, Request headers in the Buying Integration Guide. Restrictions For a list of supported sites and other restrictions, see API Restrictions. eBay Partner Network: In order to be commissioned for your sales, you must use the URL returned in the itemAffiliateWebUrl field to forward your buyer to the ebay.com site.'
get, ' This method is a bridge between the eBay legacy APIs, such as Shopping, and Finding and the eBay Buy APIs. There are differences between how legacy APIs and RESTful APIs return the identifier of an &quot;item&quot; and what the item ID represents. This method lets you use the legacy item ids retrieve the details of a specific item, such as description, price, and other information the buyer needs to make a purchasing decision. It also returns the RESTful item ID, which you can use with all the Buy API methods. For more information about how to use legacy ids with the Buy APIs, see Legacy API compatibility in the Buying Integration guide. This method returns the item details and requires you to pass in either the item ID of a non-variation item or the item ids of both the parent and child of an item group. An item group is an item that has various aspect differences, such as color, size, storage capacity, etc. When an item group is created, one of the item variations, such as the red shirt size L, is chosen as the &quot;parent&quot;. All the other items in the group are the children, such as the blue shirt size L, red shirt size M, etc. The fieldgroups URI parameter lets you control what is returned in the response. Setting fieldgroups to PRODUCT, adds additional fields to the default response that return information about the product of the item. For more information, see fieldgroups. URLs for this method Production URL: https://api.ebay.com/buy/browse/v1/item/get_item_by_legacy_id/ Sandbox URL: https://api.sandbox.ebay.com/buy/browse/v1/item/get_item_by_legacy_id/ Request headers This method uses the X-EBAY-C-ENDUSERCTX request header to support revenue sharing for eBay Partner Networks and to improve the accuracy of shipping and delivery time estimations. For details see, Request headers in the Buying Integration Guide. Restrictions For a list of supported sites and other restrictions, see API Restrictions. eBay Partner Network: In order to be commissioned for your sales, you must use the URL returned in the itemAffiliateWebUrl field to forward your buyer to the ebay.com site.'
get, ' This method retrieves the details of the individual items in an item group. An item group is an item that has various aspect differences, such as color, size, storage capacity, etc. You pass in the item group ID as a URI parameter. You use this method to show the item details of items with multiple aspects, such as color, size, storage capacity, etc. This method returns two main containers; items and commonDescriptions. The items container has an array of containers with the details of each item in the group. The commonDescriptions container has an array of containers for a description and the item ids of all the items that have this exact description. Because items within an item group often have the same description, this decreases the size of the response. URLs for this method Production URL: https://api.ebay.com/buy/browse/v1/item/get_items_by_item_group/ Sandbox URL: https://api.sandbox.ebay.com/buy/browse/v1/item/get_items_by_item_group/ Request headers This method uses the X-EBAY-C-ENDUSERCTX request header to support revenue sharing for eBay Partner Networks and to improve the accuracy of shipping and delivery time estimations. For details see, Request headers in the Buying Integration Guide. Restrictions For a list of supported sites and other restrictions, see API Restrictions. eBay Partner Network: In order to be commissioned for your sales, you must use the URL returned in the itemAffiliateWebUrl field to forward your buyer to the ebay.com site.'
get, ' This method retrieves the details of a specific item, such as description, price, category, all item aspects, condition, return policies, seller feedback and score, shipping options, shipping costs, estimated delivery, and other information the buyer needs to make a purchasing decision. The Buy APIs are designed to let you create an eBay shopping experience in your app or website. This means you will need to know when something, such as the availability, quantity, etc., has changed in any eBay item you are offering. You can do this easily by setting the fieldgroups URI parameter. This parameter lets you control what is returned in the response. Setting fieldgroups to COMPACT reduces the response to only the five fields that you need in order to check if any item detail has changed. Setting fieldgroups to PRODUCT, adds additional fields to the default response that return information about the product of the item. You can use either COMPACT or PRODUCT but not both. For more information, see fieldgroups. URLs for this method Production URL: https://api.ebay.com/buy/browse/v1/item/ Sandbox URL: https://api.sandbox.ebay.com/buy/browse/v1/item/ Request headers This method uses the X-EBAY-C-ENDUSERCTX request header to support revenue sharing for eBay Partner Networks and to improve the accuracy of shipping and delivery time estimations. For details see, Request headers in the Buying Integration Guide. Restrictions For a list of supported sites and other restrictions, see API Restrictions. eBay Partner Network: In order to be commissioned for your sales, you must use the URL returned in the itemAffiliateWebUrl field to forward your buyer to the ebay.com site.'
post, ' This method checks if a product is compatible with the specified item. You can use this method to check the compatibility of cars, trucks, and motorcycles with a specific part listed on eBay. For example, to check the compatibility of a part, you pass in the item ID of the part as a URI parameter and specify all the attributes used to define a specific car in the compatibilityProperties container. If the call is successful, the response will be COMPATIBLE, NOT_COMPATIBLE, or UNDETERMINED. See compatibilityStatus for details. Note: The only products supported are cars, trucks, and motorcycles. To find the attributes and values for a specific marketplace, you can use the compatibility methods in the Taxonomy API. You can use this data to create menus to help buyers specify the product, such as their car. For more details and a list of the required attributes for the US marketplace that describe motor vehicles, see Check compatibility in the Buy Integration Guide. For an example, see the Samples section. URLs for this method Production URL: https://api.ebay.com/buy/browse/v1/item/ Note: This method is supported only on Production. Restrictions For a list of supported sites and other restrictions, see API Restrictions.'
